Date,Open
2023-09-01,189.490005
2023-09-05,188.279999
2023-09-06,188.399994
2023-09-07,175.179993
2023-09-08,178.350006
2023-09-11,180.070007
2023-09-12,179.490005
2023-09-13,176.509995
2023-09-14,174
2023-09-15,176.479996
2023-09-18,176.479996
2023-09-19,177.520004
2023-09-20,179.259995
2023-09-21,174.550003
2023-09-22,174.669998
2023-09-25,174.199997
2023-09-26,174.820007
2023-09-27,172.619995
2023-09-28,169.339996
2023-09-29,172.020004
2023-10-02,171.220001
2023-10-03,172.259995
2023-10-04,171.089996
2023-10-05,173.789993
2023-10-06,173.800003
2023-10-09,176.809998
2023-10-10,178.100006
2023-10-11,178.199997
2023-10-12,180.070007
2023-10-13,181.419998
2023-10-16,176.75
2023-10-17,176.649994
2023-10-18,175.580002
2023-10-19,176.039993
2023-10-20,175.309998
2023-10-23,170.910004
2023-10-24,173.050003
2023-10-25,171.880005
2023-10-26,170.369995
2023-10-27,166.910004
2023-10-30,169.020004
2023-10-31,169.350006
2023-11-01,171
2023-11-02,175.520004
2023-11-03,174.240005
2023-11-06,176.380005
2023-11-07,179.179993
2023-11-08,182.350006
2023-11-09,182.960007
2023-11-10,183.970001
2023-11-13,185.820007
2023-11-14,187.699997
2023-11-15,187.850006
2023-11-16,189.570007
2023-11-17,190.25
2023-11-20,189.889999
2023-11-21,191.410004
2023-11-22,191.490005
2023-11-24,190.869995
2023-11-27,189.919998
2023-11-28,189.779999
2023-11-29,190.899994
2023-11-30,189.839996
2023-12-01,190.330002
2023-12-04,189.979996
2023-12-05,190.210007
2023-12-06,194.449997
2023-12-07,193.630005
2023-12-08,194.199997
2023-12-11,193.110001
2023-12-12,193.080002
2023-12-13,195.089996
2023-12-14,198.020004
2023-12-15,197.529999
2023-12-18,196.089996
2023-12-19,196.160004
2023-12-20,196.899994
2023-12-21,196.100006
2023-12-22,195.179993
2023-12-26,193.610001
2023-12-27,192.490005
2023-12-28,194.139999
2023-12-29,193.899994
2024-01-02,187.149994
2024-01-03,184.220001
2024-01-04,182.149994
2024-01-05,181.990005
2024-01-08,182.089996
2024-01-09,183.919998
2024-01-10,184.350006
2024-01-11,186.539993
2024-01-12,186.059998
2024-01-16,182.160004
2024-01-17,181.270004
2024-01-18,186.089996
2024-01-19,189.330002
2024-01-22,192.300003
2024-01-23,195.020004
2024-01-24,195.419998
2024-01-25,195.220001
2024-01-26,194.270004
2024-01-29,192.009995
2024-01-30,190.940002
2024-01-31,187.039993
2024-02-01,183.990005
2024-02-02,179.860001
2024-02-05,188.149994
2024-02-06,186.860001
2024-02-07,190.639999
2024-02-08,189.389999
2024-02-09,188.649994
2024-02-12,188.419998
2024-02-13,185.770004
2024-02-14,185.320007
2024-02-15,183.550003
2024-02-16,183.419998
2024-02-20,181.789993
2024-02-21,181.940002
2024-02-22,183.479996
2024-02-23,185.009995
2024-02-26,182.240005
2024-02-27,181.100006
2024-02-28,182.509995
2024-02-29,181.270004
